"time","eventType","id","newStatus","additionalInfo"
0.0,"InfectionEvent",2050,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1026,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1028,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1029,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3077,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4102,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4105,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4107,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2059,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2063,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3090,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2067,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2071,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",26,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1053,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",35,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2085,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4134,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2088,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1073,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4147,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4149,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3126,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1082,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1086,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1087,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1090,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4167,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",71,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4169,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4171,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4174,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3159,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1114,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2139,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4189,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1120,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",97,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",100,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1125,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1130,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4202,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3178,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3179,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",108,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1133,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",110,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",112,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4208,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1136,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3187,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1139,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4212,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1141,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",117,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3191,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",123,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2173,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",126,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1153,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4226,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2180,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3205,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3207,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1161,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3212,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3216,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4240,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1169,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1171,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3221,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4246,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1179,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4255,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3234,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2212,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1190,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4262,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",167,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3241,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",169,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4266,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2218,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2219,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3243,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2222,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1203,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",181,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1205,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1207,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3255,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2232,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3258,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2234,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1212,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1213,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4286,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3262,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",191,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1216,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4290,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3266,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1219,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",195,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2244,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2246,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4294,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3270,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3272,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",202,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2251,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3283,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3286,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3287,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",217,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1242,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1243,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3295,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4322,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",228,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3302,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2281,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",235,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4331,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2288,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3314,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2293,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",246,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1270,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3319,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1275,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2299,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1276,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4350,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2303,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1288,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3341,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3342,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3343,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1297,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",277,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2328,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2334,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4382,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",289,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3362,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1314,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3364,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2340,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",294,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",295,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3369,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",297,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3371,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2347,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2350,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2351,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",304,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1333,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1336,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1337,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3387,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2364,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1343,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4417,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3394,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",322,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2372,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",1349,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4421,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4422,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",3399,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4425,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",331,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2380,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",4430,"EXPOSED","This case was an initial infection"
0.0,"InfectionEvent",2383,"EXPOSED","This case was an initial infection"
